Date,Close/Last,Volume,Open,High,Low
2024-10-21,236.48,36254470,$234.45,$236.85,$234.45
2024-10-22,235.86,38846580,$233.885,$236.22,$232.60
2024-10-23,230.76,52286980,$234.08,$235.144,$227.76
2024-10-24,230.57,31109500,$229.98,$230.82,$228.41
2024-10-25,231.41,38802300,$229.74,$233.22,$229.57
2024-10-28,233.4,36087130,$233.32,$234.73,$232.55
2024-10-29,233.67,35417250,$233.10,$234.325,$232.32
2024-10-30,230.1,47070910,$232.61,$233.47,$229.55
2024-10-31,225.91,64370090,$229.34,$229.83,$225.37
2024-11-01,222.91,65276740,$220.965,$225.35,$220.27
2024-11-04,222.01,44944470,$220.99,$222.79,$219.71
2024-11-05,223.45,28111340,$221.795,$223.95,$221.14
2024-11-06,222.72,54561120,$222.61,$226.065,$221.19
2024-11-07,227.48,42137690,$224.625,$227.875,$224.57
2024-11-08,226.96,38328820,$227.17,$228.66,$226.405
2024-11-11,224.23,42005600,$225.00,$225.70,$221.50
2024-11-12,224.23,40398300,$224.55,$225.59,$223.355
2024-11-13,225.12,48566220,$224.01,$226.65,$222.76
2024-11-14,228.22,44923940,$225.02,$228.87,$225.00
2024-11-15,225.0,47923700,$226.40,$226.92,$224.27
2024-11-18,228.02,44686020,$225.25,$229.74,$225.17
2024-11-19,228.28,36211770,$226.98,$230.16,$226.66
2024-11-20,229.0,35169570,$228.06,$229.93,$225.89
2024-11-21,228.52,42108330,$228.88,$230.155,$225.7103
2024-11-22,229.87,38168250,$228.06,$230.7199,$228.06
2024-11-25,232.87,90152830,$231.46,$233.245,$229.74
2024-11-26,235.06,45986190,$233.33,$235.57,$233.33
2024-11-27,234.93,33498440,$234.465,$235.69,$233.8101
2024-11-29,237.33,28481380,$234.805,$237.81,$233.97
2024-12-02,239.59,48137100,$237.27,$240.79,$237.16
2024-12-03,242.65,38861020,$239.81,$242.76,$238.90
2024-12-04,243.01,44383940,$242.87,$244.11,$241.25
2024-12-05,243.04,40033880,$243.99,$244.54,$242.13
2024-12-06,242.84,36870620,$242.905,$244.63,$242.08
2024-12-09,246.75,44649230,$241.83,$247.24,$241.75
2024-12-10,247.77,36914810,$246.89,$248.21,$245.34
2024-12-11,246.49,45205810,$247.96,$250.80,$246.2601
2024-12-12,247.96,32777530,$246.89,$248.74,$245.68
2024-12-13,248.13,33155290,$247.815,$249.2902,$246.24
2024-12-16,251.04,51694750,$247.99,$251.38,$247.65
2024-12-17,253.48,51356360,$250.08,$253.83,$249.78
2024-12-18,248.05,56774100,$252.16,$254.28,$247.74
2024-12-19,249.79,60882260,$247.50,$252.00,$247.0949
2024-12-20,254.49,147495300,$248.04,$255.00,$245.69
2024-12-23,255.27,40858770,$254.77,$255.65,$253.45
2024-12-24,258.2,23234710,$255.49,$258.21,$255.29
2024-12-26,259.02,27262980,$258.19,$260.10,$257.63
2024-12-27,255.59,42355320,$257.83,$258.70,$253.06
2024-12-30,252.2,35557540,$252.23,$253.50,$250.75
2024-12-31,250.42,39480720,$252.44,$253.28,$249.43
2025-01-02,243.85,55740730,$248.93,$249.10,$241.8201
2025-01-03,243.36,40244110,$243.36,$244.18,$241.89
2025-01-06,245.0,45045570,$244.31,$247.33,$243.20
2025-01-07,242.21,40855960,$242.98,$245.55,$241.35
2025-01-08,242.7,37628940,$241.92,$243.7123,$240.05
2025-01-10,236.85,61710860,$240.01,$240.16,$233.00
2025-01-13,234.4,49630730,$233.53,$234.67,$229.72
2025-01-14,233.28,39435290,$234.75,$236.12,$232.472
2025-01-15,237.87,39831970,$234.635,$238.96,$234.43
2025-01-16,228.26,71759050,$237.35,$238.01,$228.03
2025-01-17,229.98,68488300,$232.115,$232.29,$228.48
2025-01-21,222.64,98070430,$224.00,$224.42,$219.38
2025-01-22,223.83,64126500,$219.79,$224.12,$219.79
2025-01-23,223.66,60234760,$224.74,$227.03,$222.30
2025-01-24,222.78,54697910,$224.78,$225.63,$221.41
2025-01-27,229.86,94863420,$224.02,$232.15,$223.98
2025-01-28,238.26,75707570,$230.85,$240.19,$230.81
2025-01-29,239.36,45486100,$234.12,$239.855,$234.01
2025-01-30,237.59,55658280,$238.665,$240.79,$237.21
2025-01-31,236.0,101075100,$247.19,$247.19,$233.44
2025-02-03,228.01,73063300,$229.99,$231.83,$225.70
2025-02-04,232.8,45067300,$227.25,$233.13,$226.65
2025-02-05,232.47,39664990,$228.53,$232.67,$228.27
2025-02-06,233.22,29925350,$231.285,$233.80,$230.425
2025-02-07,227.63,39707220,$232.60,$234.00,$227.26
2025-02-10,227.65,33115650,$229.57,$230.585,$227.20
2025-02-11,232.62,53718360,$228.20,$235.23,$228.13
2025-02-12,236.87,45243290,$231.20,$236.96,$230.68
2025-02-13,241.53,53614050,$236.91,$242.3399,$235.57
2025-02-14,244.6,40896230,$241.25,$245.55,$240.99
2025-02-18,244.47,48822490,$244.15,$245.18,$241.84
2025-02-19,244.87,32204220,$244.66,$246.01,$243.1604
2025-02-20,245.83,32316910,$244.94,$246.78,$244.29
2025-02-21,245.55,53197430,$245.95,$248.69,$245.22
2025-02-24,247.1,51326400,$244.925,$248.86,$244.42
2025-02-25,247.04,48013270,$248.00,$250.00,$244.91
2025-02-26,240.36,44433560,$244.33,$244.98,$239.13
2025-02-27,237.3,41153640,$239.41,$242.46,$237.06
2025-02-28,241.84,56833360,$236.95,$242.09,$230.20
2025-03-03,238.03,47183990,$241.79,$244.0272,$236.112
2025-03-04,235.93,53798060,$237.705,$240.07,$234.68
2025-03-05,235.74,47227640,$235.42,$236.55,$229.23
2025-03-06,235.33,45170420,$234.435,$237.86,$233.1581
2025-03-07,239.07,46273570,$235.105,$241.37,$234.76
2025-03-10,227.48,72071200,$235.54,$236.16,$224.22
2025-03-11,220.84,76137410,$223.805,$225.8399,$217.45
2025-03-12,216.98,62547470,$220.14,$221.75,$214.91
2025-03-13,209.68,61368330,$215.95,$216.8394,$208.42
2025-03-14,213.49,60107580,$211.25,$213.95,$209.58
2025-03-17,214.0,48073430,$213.31,$215.22,$209.97
2025-03-18,212.69,42432430,$214.16,$215.15,$211.49
2025-03-19,215.24,54385390,$214.22,$218.76,$213.75
2025-03-20,214.1,48862950,$213.99,$217.4899,$212.22
2025-03-21,218.27,94127770,$211.56,$218.84,$211.28
2025-03-24,220.73,44299480,$221.00,$221.48,$218.58
2025-03-25,223.75,34493580,$220.77,$224.10,$220.08
2025-03-26,221.53,34532660,$223.51,$225.02,$220.47
2025-03-27,223.85,37094770,$221.39,$224.99,$220.5601
2025-03-28,217.9,39818620,$221.67,$223.81,$217.68
2025-03-31,222.13,65299320,$217.005,$225.62,$216.23
2025-04-01,223.19,36412740,$219.805,$223.68,$218.90
2025-04-02,223.89,35905900,$221.315,$225.19,$221.02
2025-04-03,203.19,103419000,$205.54,$207.49,$201.25
2025-04-04,188.38,125910900,$193.89,$199.88,$187.34
2025-04-07,181.46,160466300,$177.20,$194.15,$174.62
2025-04-08,172.42,120859500,$186.70,$190.335,$169.2101
2025-04-09,198.85,184395900,$171.95,$200.61,$171.89
2025-04-10,190.42,121880000,$189.065,$194.7799,$183.00
2025-04-11,198.15,87435920,$186.10,$199.54,$186.06
2025-04-14,202.52,101352900,$211.44,$212.94,$201.1621
2025-04-15,202.14,51343870,$201.855,$203.51,$199.80
2025-04-16,194.27,59732420,$198.36,$200.70,$192.37
2025-04-17,196.98,52164680,$197.20,$198.8335,$194.42
2025-04-21,193.16,46742540,$193.265,$193.80,$189.8112
2025-04-22,199.74,52976370,$196.12,$201.59,$195.97
2025-04-23,204.6,52929170,$206.00,$208.00,$202.799
2025-04-24,208.37,47310990,$204.89,$208.8299,$202.94
2025-04-25,209.28,38222260,$206.365,$209.75,$206.20
2025-04-28,210.14,38743070,$210.00,$211.50,$207.46
2025-04-29,211.21,36827630,$208.693,$212.24,$208.37
2025-04-30,212.5,52286450,$209.30,$213.58,$206.6705
2025-05-01,213.32,57365680,$209.08,$214.56,$208.90
2025-05-02,205.35,101010600,$206.09,$206.99,$202.16
2025-05-05,198.89,69018450,$203.10,$204.10,$198.21
2025-05-06,198.51,51216480,$198.21,$200.65,$197.02
2025-05-07,196.25,68616940,$199.17,$199.44,$193.25
2025-05-08,197.49,50478870,$197.72,$200.05,$194.6796
2025-05-09,198.53,36453920,$199.00,$200.5399,$197.535
2025-05-12,210.79,63775810,$210.97,$211.2679,$206.75
2025-05-13,212.93,51909330,$210.43,$213.40,$209.00
