Entity,Year,Number of people employed in services ,Number of people employed in industry ,number_employed_agri
United Kingdom,1990,18202283,7741974,N/A
United Kingdom,1991,18000806,7108901,624672.651
United Kingdom,1992,18083229,6680303,606610.664
United Kingdom,1993,17870620,6322228,584502.69
United Kingdom,1994,18027678,6303142,591832.591
United Kingdom,1995,18206811,6364875,582595.083
United Kingdom,1996,18470219,6333495,556129.776
United Kingdom,1997,18852356,6361202,530824.059
United Kingdom,1998,18986590,6422004,494745.521
United Kingdom,1999,19475554,6259334,450294.702
United Kingdom,2000,19928105,6147598,451173.25
United Kingdom,2001,20278627,6023851,406742.894
United Kingdom,2002,20689312,5847906,411314.757
United Kingdom,2003,21044788,5726752,373404.4
United Kingdom,2004,21397277,5628674,385910.942
United Kingdom,2005,21762584,5544965,422244.312
United Kingdom,2006,22068564,5490047,419100.73
United Kingdom,2007,22164263,5478726,428167.211
United Kingdom,2008,22322972,5316355,342006.497
United Kingdom,2009,22054919,4958757,353564.475
United Kingdom,2010,22734404,5284408,390881.08
United Kingdom,2011,23088919,5513972,393174.436
United Kingdom,2012,N/A,N/A,387736.862
United Kingdom,2013,N/A,N/A,348731.035
United Kingdom,2014,N/A,N/A,418275.317
United Kingdom,2015,N/A,N/A,381706.594
United Kingdom,2016,N/A,N/A,381935.49
United Kingdom,2017,N/A,N/A,394531.057
United Kingdom,2018,N/A,N/A,367346.233
United Kingdom,2019,N/A,N/A,363712.36
